0ad 0.0.18
0install 2.8.2
0install.install 2.8.2
0install.portable 2.8.2
1password 4.6.0.592
2gis 3.14.12.0
360ts 5.2.0.1074
7KAA 2.14.15
7-taskbar-tweaker 4.5.10
7zip 9.38
7zip.commandline 9.38
7zip.install 9.38
aacgain 1.9.0.2
aaclr 1.0.2
absolute-uninstaller 5.3.1.20
access-to-mysql 5.2.0.252
ace 1.3
acestream 2.3.0.20140918
ack 2.14
acr 2.6.0
activator 1.2.12
ActiveMQ 5.10.0
ActivePerl 5.20.1.2000
ActivePerl-EqEmu-x86 5.16.3.1605
ActiveTcl 8.6.4.1
ActySystemStyleRule 1.0.0
ad-awarefreeantivirus 11.3.6321.0
adb 1.0.32.230
adblockpluschrome 0.0.0.2
adblockplusfirefox 0.0.0.1
adblockplusie 1.2.0.20140908
adblockplusopera 0.0.0.1
addtopath 1.0
adexplorer 1.42
AdFender 1.83
AdobeAIR 15.0.0.249
adobe-creative-cloud 1.0
adobedigitaleditions 4.0.2
adobereader 2015.007.20033
adobereader-de 11.0.10
adobeshockwaveplayer 12.2.2.172
adom 1.1.1
adom-classic 1.1.1
advancedsystemcarefree 8.0.3.20141128
advancedsystemtweaker 2.0.0.20141128
adwcleaner 4.001
aegisub 3.2.2
aeroadmin.portable 3.0.2037
AESCrypt 3.0.9
Afedteated 1.24
ag 0.29.1.1641
agentransack 7.0.828
aida64-business 4.70.3200
aida64-engineer 5.20.3400
aida64extreme 4.60.3100
aida64-extreme 4.70.3200
aida64-networkaudit 4.70.3200
aimp 3.60.1503
aimp3 3.55.1355
alanstevens.utils 1.19
alanstevens.utils.vm 1.07
alanstevens.vs2012extensions 1.04
alanstevens.vsextensions 1.08
alcohol52-free 2.0.2.5629
allbrowsers 1.0
alldup 3.4.24.20131012
allmyapps 2.0.0.30
allpairs 1.2.1
altap-salamander 3.0.6
altdrag 1.0.0.1
alternatestreamview 1.51
altstreamdump 1.05
Amaya 11.4.7
amsexplorer 3.27.0.0
amule 2.3.1
amule.install 2.3.1
amule.portable 2.3.1
android-sdk 24.0.2
AndroidStudio 1.3.0.10
andy 0.43.3
angband 3.5.1
angryip 3.3.2
AnkhSvn 2.5.12582
anki 2.0.31
AnonymousPro 2014.12.31
